HPILSQ[HPILS1],HPILSQ[HPILS2],HPILSQ[HPILS3],HPILSQ[HPILS4],HPILSQ[HPILS5],HPILSQ[HPILS6],HPILSQ[HPILS7],HPILSQ[HPILS8],HPILSQ[HPILS9],HPILSQ[HPILS10],HPILSQ[HPILS11],HPILSQ[HPILS12],HPILSQ[HPILS13],HPILSQ[HPILS14],HPILSQ[HPILS15],HPILSQ[HPILS16],HPILSQ[HPILS17],HPILSA,HPILSB,HPILSC,HPILSD,HPILSMAX,HPILSDOM,HPILSRESULT,CommuteTime[In],CommuteTime[Out],OffCampusResps,HomeCity,HomeCity[comment],BB01,BB03,BB02,BB04,BB08,BB05,BB06,BB07,BB11,BB09,BB10,BB14,BB12,BB13,BB16,BB15,BB18,BB17,BBL,BBR,BBA,BBB,BBLR,BBQuadrant,BBAB,BBLabel,BBResults,BBDebug,DontCall,DontCallJusticiation,FS02,FS01,FS07,FS03,FS04,FS05,FS06,FS10,FS08,FS09,FS12,FS11,FS13,FS14,FS16,FS15,FS19,FS17,FS18,FS25,FS20,FS21,FS22,FS23,FS24,FS29,FS26,FS27,FS28,FS36,FS30,FS31,FS32,FS33,FS34,FS35,FS42,FS37,FS38,FS39,FS40,FS41,FS43,FS44,FSActive,FSReflective,FSSensory,FSIntuitive,FSVisual,FSVerbal,FSSequential,FSGlobal,FSActRefCalc,FSSensIntCalc,FSVisVerbCalc,FSSeqGlobCalc,FSIsActive,FSIsReflective,FSActRefStrength,FSActRefLabel,FSIsSensing,FSIsIntuitive,FSSensIntStrength,FSSensIntLabel,FSIsVisual,FSIsVerbal,FSVisVerbStrength,FSVisVerbLabel,FSIsSequential,FSIsGlobal,FSSeqGlobStrength,FSSeqGlobLabel,FSDisplayResults,DUCKAll[DUCK01],DUCKAll[DUCK02],DUCKAll[DUCK03],DUCKAll[DUCK04],DUCKAll[DUCK05],DUCKAll[DUCK06],DUCKAll[DUCK07],DUCKAll[DUCK08],DUCKAll[DUCK09],DUCKAll[DUCK10],DUCKAll[DUCK11],DUCKAll[DUCK12],DUCKRESULT,DUCKCALC,PortableTech[NONE],PortableTech[ANDROID],PortableTech[APHABLET],PortableTech[ATABLET],PortableTech[IPHONE],PortableTech[iPAD],PortableTech[SURFACE],PortableTech[CHROMEBOOK],PortableTech[WINDOWS],PortableTech[LINUX],PortableTech[MACBOOK],PortableTech[other],CommonLanguages[Arabic],CommonLanguages[Chinese],CommonLanguages[Farsi],CommonLanguages[French],CommonLanguages[German],CommonLanguages[Hindi],CommonLanguages[Japanese],CommonLanguages[Korean],CommonLanguages[Malay],CommonLanguages[Russian],CommonLanguages[Slav],CommonLanguages[Spanish],CommonLanguages[Tamil],CommonLanguages[Urdu],CommonLanguages[CustomOther],Farsi[Argue],Farsi[Chat],Farsi[Write],Farsi[Notes],Farsi[Joke],Farsi[Read],English[Argue],English[Chat],English[Write],English[Notes],English[Joke],English[Read],ArabicProficiency[Argue],ArabicProficiency[Chat],ArabicProficiency[Write],ArabicProficiency[Notes],ArabicProficiency[Joke],ArabicProficiency[Read],ChineseDialects[Dialect1],ChineseDialects[Dialect2],ChineseDialects[Dialect3],Chinese[Guan],Chinese[Wu],Chinese[Yue],Chinese[Min],Chinese[Xiang],Chinese[Hakka],Chinese[Gan],Chinese[Jin],Chinese[Other1],French[Argue],French[Chat],French[Write],French[Notes],French[Joke],French[Read],Hindi[Argue],Hindi[Chat],Hindi[Write],Hindi[Notes],Hindi[Joke],Hindi[Read],Malay[Argue],Malay[Chat],Malay[Write],Malay[Notes],Malay[Joke],Malay[Read],Japanese[Argue],Japanese[Chat],Japanese[Write],Japanese[Notes],Japanese[Joke],Japanese[Read],Korean[Argue],Korean[Chat],Korean[Write],Korean[Notes],Korean[Joke],Korean[Read],German[Argue],German[Chat],German[Write],German[Notes],German[Joke],German[Read],OtherLanguages[Other1],OtherLanguages[Other2],OtherLanguages[Other3],OtherLanguages[Other4],Slav[Argue],Slav[Chat],Slav[Write],Slav[Notes],Slav[Joke],Slav[Read],Russian[Argue],Russian[Chat],Russian[Write],Russian[Notes],Russian[Joke],Russian[Read],Tamil[Argue],Tamil[Chat],Tamil[Write],Tamil[Notes],Tamil[Joke],Tamil[Read],Spanish[Argue],Spanish[Chat],Spanish[Write],Spanish[Notes],Spanish[Joke],Spanish[Read],Urdu[Argue],Urdu[Chat],Urdu[Write],Urdu[Notes],Urdu[Joke],Urdu[Read],Guan[Argue],Guan[Chat],Guan[Write],Guan[Notes],Guan[Joke],Guan[Read],Wu[Argue],Wu[Chat],Wu[Write],Wu[Notes],Wu[Joke],Wu[Read],Yue[Argue],Yue[Chat],Yue[Write],Yue[Notes],Yue[Joke],Yue[Read],Min[Argue],Min[Chat],Min[Write],Min[Notes],Min[Joke],Min[Read],Xiang[Argue],Xiang[Chat],Xiang[Write],Xiang[Notes],Xiang[Joke],Xiang[Read],ChineseDialect3[Argue],ChineseDialect3[Chat],ChineseDialect3[Write],ChineseDialect3[Notes],ChineseDialect3[Joke],ChineseDialect3[Read],Hakka[Argue],Hakka[Chat],Hakka[Write],Hakka[Notes],Hakka[Joke],Hakka[Read],Gan[Argue],Gan[Chat],Gan[Write],Gan[Notes],Gan[Joke],Gan[Read],Jin[Argue],Jin[Chat],Jin[Write],Jin[Notes],Jin[Joke],Jin[Read],ChineseDialect1[Argue],ChineseDialect1[Chat],ChineseDialect1[Write],ChineseDialect1[Notes],ChineseDialect1[Joke],ChineseDialect1[Read],ChineseDialect2[Argue],ChineseDialect2[Chat],ChineseDialect2[Write],ChineseDialect2[Notes],ChineseDialect2[Joke],ChineseDialect2[Read],OtherLang2[Argue],OtherLang2[Chat],OtherLang2[Write],OtherLang2[Notes],OtherLang2[Joke],OtherLang2[Read],OtherLang3[Argue],OtherLang3[Chat],OtherLang3[Write],OtherLang3[Notes],OtherLang3[Joke],OtherLang3[Read],OtherLang4[Argue],OtherLang4[Chat],OtherLang4[Write],OtherLang4[Notes],OtherLang4[Joke],OtherLang4[Read],OtherLang1[Argue],OtherLang1[Chat],OtherLang1[Write],OtherLang1[Notes],OtherLang1[Joke],OtherLang1[Read],EngrMotivation,GeneralMotivations[MOST],GeneralMotivations[SECOND],GeneralMotivations[THIRD],CEABAttributes,RankBySelf[1],RankBySelf[2],RankBySelf[3],RankBySelf[4],RankBySelf[5],RankBySelf[6],RankBySelf[7],RankBySelf[8],RankBySelf[9],RankBySelf[10],RankBySelf[11],RankBySelf[12],RankByIndustry[1],RankByIndustry[2],RankByIndustry[3],RankByIndustry[4],RankByIndustry[5],RankByIndustry[6],RankByIndustry[7],RankByIndustry[8],RankByIndustry[9],RankByIndustry[10],RankByIndustry[11],RankByIndustry[12],RankByLearning[1],RankByLearning[2],RankByLearning[3],RankByLearning[4],RankByLearning[5],RankByLearning[6],RankByLearning[7],RankByLearning[8],RankByLearning[9],RankByLearning[10],RankByLearning[11],RankByLearning[12],AccessProfile,AccessBBA
R,U,S,S,U,U,U,U,S,U,S,R,S,H,U,S,R,4,8,5,0,8,Assimilator,,68,90,Y,Ma,,B,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,B,5,4,7,2,L,LA,A,Analytical,,,N,,A,B,A,A,A,B,A,A,A,A,A,B,B,A,B,B,A,A,A,B,A,A,A,A,B,A,B,A,A,A,A,A,A,A,B,A,B,B,A,B,B,A,B,A,5,6,8,3,7,4,8,3,-1,5,3,5,,1,slightly,slightly Reflective,,1,moderately,moderately Intuitive,,1,slightly,slightly Verbal,,1,moderately,moderately Global,,VM,NM,S,M,M,NAA,NM,S,VM,NM,S,NM,,3.2,,Y,,,,,,,Y,,,,,,,,,Y,,,,,,,,,Y,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Manag,,,,,,,,,,,,,,,,,,,,,,,,,Manag,Comfy,Frust,Frust,Comfy,Frust,,,,,,,,,,,,,,,,,,,,,,,,,Gujarati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Frust,Frust,Comfy,Manag,"I've always loved Math and Physics and engineering allowed me to do both. Also both my parents are engineers, and I probably was influenced by them over the years to like engineering (they never explicitly tried to get me to do engineering, they were fine with whatever I do).",Opportunities to learn something new,Being able to get a good job,Deadlines ,,GA01,GA02,GA03,GA04,GA12,GA06,GA07,GA08,GA09,GA10,GA11,GA05,GA07,GA08,GA06,GA01,GA02,GA03,GA04,GA05,GA11,GA10,GA09,GA12,GA01,GA03,GA02,GA04,GA07,GA06,GA08,GA05,GA09,GA12,GA10,GA11,Y,Y
S,U,S,U,S,U,S,U,U,U,S,S,U,S,R,S,S,3,4,4,6,6,Diverger,,25,25,N,T,,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,B,A,A,6,3,9,0,L,LA,A,Analytical,,,N,,A,B,A,A,A,B,A,A,A,A,A,B,B,A,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,A,A,A,A,A,B,B,A,B,A,A,B,A,B,A,4,7,9,2,6,5,9,2,-3,7,1,7,,1,slightly,slightly Reflective,,1,moderately,moderately Intuitive,,1,slightly,slightly Verbal,,1,moderately,moderately Global,,S,M,M,NM,S,S,M,M,S,NM,S,S,,2.5,,,,,Y,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,Frust,Manag,Frust,Manag,Frust,Manag,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am interested in the financial engineering major which belongs to engineering science program and that's why I chose eng sci. ,Making enough money when I get a job.,Knowing things that few other people do.,Helping other people to accomplish great things.,,GA10,GA12,GA01,GA02,GA07,GA06,GA11,GA09,GA05,GA03,GA04,GA08,GA10,GA12,GA01,GA06,GA11,GA07,GA02,GA08,GA05,GA03,GA04,GA09,GA12,GA01,GA06,GA07,GA02,GA05,GA03,GA04,GA08,GA09,GA11,GA10,Y,Y
S,U,U,R,U,U,U,U,S,S,S,S,R,S,S,R,R,3,6,5,3,6,Assimilator,,20,20,N,T,,B,A,A,B,A,A,B,A,A,B,A,A,A,A,A,B,A,B,5,4,7,2,L,LA,A,Analytical,,,Y,"I am typically unable to put my thoughts into the right words if I am called upon unexpectedly. This can lead to a confusing and circular statement that does not add much value. With a little bit of warning, however, I can participate effectively. ",B,B,A,A,B,B,B,B,A,A,A,B,B,B,A,A,A,A,B,B,B,B,B,A,A,B,B,A,A,A,B,A,B,A,B,B,A,B,B,A,A,B,A,A,4,7,1,10,9,2,8,3,-3,-9,7,5,,1,slightly,slightly Reflective,,1,very strongly,very strongly Intuitive,,1,moderately,moderately Verbal,,1,moderately,moderately Global,,M,M,NM,M,S,NM,S,M,M,S,S,M,,3.2,,Y,,,,,,,Y,,,,,,,Y,,,,,,,,,Y,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,Manag,Manag,Comfy,Manag,Frust,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frust,Manag,Frust,Frust,Frust,Frust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"My ultimate goal is to work in physics academia. However, since this is a lofty goal, I thought it would be unwise to just pursue a pure physics degree. Engineering Science was appealing to me because of its Physics option and because it could serve as insurance for me should my physics aspirations be unsuccessful. Even with all that aside, engineering interests me because it involves my strongest subjects (Math, Physics, Computer Science) and would allow me to innovate.",Discovering or experiencing awe-inspiring things,Understanding that which awes me,Sharing the things that awe me (either through creation or teaching),,GA01,GA02,GA03,GA07,GA06,GA04,GA05,GA08,GA11,GA09,GA10,GA12,GA07,GA08,GA10,GA06,GA11,GA01,GA04,GA02,GA03,GA09,GA05,GA12,GA02,GA03,GA01,GA11,GA07,GA04,GA06,GA05,GA08,GA10,GA09,GA12,Y,Y
S,U,S,U,S,S,U,U,R,U,U,S,S,U,S,U,U,0,6,7,4,7,Converger,,95,95,N,B,,A,B,A,A,B,A,B,B,B,B,A,A,B,A,A,B,B,A,4,5,5,4,R,RA,A,Driver,,,N,,A,A,A,A,B,A,A,B,B,A,A,B,A,B,B,B,A,A,A,B,A,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B,B,A,A,A,B,A,A,7,4,8,3,9,2,6,5,3,5,7,1,,1,slightly,slightly Reflective,,1,moderately,moderately Intuitive,,1,moderately,moderately Verbal,,1,slightly,slightly Global,,S,VM,VM,S,VM,M,S,S,S,NM,M,VM,,2.6,,Y,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,Manag,Manag,Frust,Frust,Manag,Frust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ever since elementary school, I've loved math, and ""science"" was a close second. Now, my interest in ""science"" has narrowed down to mostly just physics. The concepts in math and physics just seem to make sense to me a lot better and a lot faster than concepts in other subjects. My interest in these subjects ultimately made it clear to me that I wanted to become an engineer.

Since I want to pursue aerospace engineering, I was somewhat limited in the options I had for post-graduate studies. All major aerospace-oriented companies (such as NASA, ESA, etc.), as well as minor aerospace-oriented companies, require a degree in aerospace or mechanical engineering. Furthermore, a graduate degree significantly increases the chances of employment in the aerospace industry. Therefore, to reach my goal, my best option was to come to an aerospace/mechanical engineering program where I could learn a lot as well as get the opportunity to get some in-field experience.","Becoming a part of society, hopefully leaving a significant impact on the world",Being able to support my family in the future,"Going to work everyday because I love what I do, not because I must do it",,GA09,GA12,GA10,GA03,GA06,GA04,GA02,GA01,GA05,GA07,GA08,GA11,GA01,GA08,GA07,GA05,GA02,GA04,GA03,GA06,GA11,GA12,GA10,GA09,GA04,GA03,GA01,GA05,GA02,GA07,GA06,GA10,GA09,GA08,GA12,GA11,Y,Y
U,S,H,U,S,S,U,S,S,U,R,S,S,S,S,R,S,2,7,4,4,7,Assimilator,,15,15,N,T,,A,A,A,A,B,A,B,A,A,A,A,A,B,A,A,B,B,A,8,1,5,4,L,LA,A,Analytical,,,Y,"I like to think about my responses before expressing them, and sometimes questions brought up in lectures can be quite fast paced so I would prefer to not be called on before having time to process the question.",A,A,A,A,A,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,A,A,A,7,4,9,2,11,0,10,1,3,7,11,9,,1,slightly,slightly Reflective,,1,moderately,moderately Intuitive,,1,very strongly,very strongly Verbal,,1,very strongly,very strongly Global,,NM,VM,M,NM,M,M,S,S,NM,NM,M,M,,2.4,,,,,Y,,,,Y,,Y,,,Y,,Y,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,Y,,,,,,,,,Frust,Frust,Frust,Frust,Frust,Frust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Manag,Manag,Manag,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Engineering most appealed to me because it is one of the only professions that offers a nice balance between the technical skills and the people skills involved in excelling at the profession. As an engineer, it is crucial to have a solid foundational knowledge of the technical aspects of the job. However, in addition to simply designing and making products that work, it is equally as important to make these products cater to the needs and preferences of the people around us. The duty of engineers is both technical-oriented as well as people-oriented, which is a combination I highly value in my future career.",Being able to pursue a career that balances having a stable income and personal enjoyment,The health of my family and I,Making and maintaining close connections,,GA01,GA04,GA11,GA02,GA07,GA06,GA08,GA05,GA03,GA09,GA10,GA12,GA01,GA07,GA06,GA04,GA11,GA02,GA05,GA08,GA09,GA03,GA10,GA12,GA01,GA04,GA05,GA02,GA09,GA11,GA07,GA06,GA03,GA08,GA10,GA12,Y,Y
U,U,S,U,S,S,U,S,U,U,U,R,S,S,S,S,U,3,7,5,2,7,Assimilator,,120,120,N,P,,B,B,B,B,A,A,B,B,B,A,A,A,A,A,A,B,A,B,3,6,6,3,R,RA,A,Driver,,,N,,B,B,A,A,B,A,A,A,B,B,A,A,A,B,A,B,A,B,A,B,A,B,A,A,B,A,B,B,B,A,A,A,B,B,A,B,A,B,A,A,B,B,A,B,4,7,8,3,8,3,4,7,-3,5,5,-3,,1,slightly,slightly Reflective,,1,moderately,moderately Intuitive,,1,moderately,moderately Verbal,,1,slightly,slightly Global,,M,S,M,M,S,M,M,NAA,M,VM,M,VM,,3.6,,,,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I chose to do an undergraduate degree in engineering because I strongly believe that engineering is, in a way, like a foundation to most other fields. It is like fundamental knowledge that one should understand in order to smoothly and clear handle other aspects of life. Personally, I did not choose engineering to immediately graduate with a job as an engineer. I chose it to have the necessary skills in life, from understanding how a piece of equipment at home works to having a sense of what caused a specific problem, in order to continue with something else such as law. To me, engineering has a higher expectation for ""hard skills"" and law, although contains much content, requires more ""soft skills"". Having an engineering background before pursuing a more ""people"" situated field will give me material and content. I am working to become a well-rounded person with both these type of skills, which is why I chose engineering to start off my education.  ","Becoming successful in a way that the company needs me, in other words, making a mark in a small part of this world ","The sucess of my aunt, accomplished purely through her own dilligence","Eventually treating money as a tool to open new doors and create more choices in life, rather than the reason to look for a job ",,GA12,GA01,GA09,GA11,GA10,GA08,GA07,GA04,GA05,GA03,GA06,GA02,GA01,GA07,GA06,GA05,GA04,GA02,GA03,GA08,GA11,GA10,GA09,GA12,GA01,GA12,GA05,GA06,GA11,GA07,GA04,GA03,GA08,GA10,GA09,GA02,Y,Y
U,S,U,R,U,S,R,S,U,S,S,S,S,S,R,H,R,3,3,5,6,6,Diverger,,20,20,N,T,,B,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,7,2,8,1,L,LA,A,Analytical,,,Y,I would rather not feel singled out as this would lead to a lot of pressure to whoever is being called out,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,A,A,B,B,B,A,B,B,A,A,B,A,A,B,B,B,A,B,A,A,B,A,B,B,A,A,B,A,A,2,9,5,6,10,1,6,5,-7,-1,9,1,,1,moderately,moderately Reflective,,1,slightly,slightly Intuitive,,1,very strongly,very strongly Verbal,,1,slightly,slightly Global,,M,VM,S,S,VM,NM,S,M,NM,NAA,M,S,,2.3,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manag,Manag,Frust,Frust,Manag,Frust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,My strengths aligned with engineering and I wanted to design and build things.,Having cool/unusual skills,Being well rounded ,Jobs/money,,GA02,GA04,GA08,GA06,GA12,GA09,GA07,GA10,GA03,GA01,GA05,GA11,GA07,GA06,GA02,GA05,GA01,GA04,GA08,GA11,GA03,GA10,GA12,GA09,GA04,GA02,GA03,GA08,GA01,GA09,GA12,GA10,GA05,GA07,GA11,GA06,N,N
U,U,S,R,S,S,U,S,U,S,U,R,S,U,R,R,R,2,5,5,5,5,Assimilator,,20,20,N,T,,A,A,B,B,B,A,A,A,A,A,A,B,A,B,B,A,B,A,8,1,3,6,L,LB,B,Amiable,,,N,,A,B,A,A,B,B,A,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,2,9,7,4,8,3,7,4,-7,3,5,3,,1,moderately,moderately Reflective,,1,slightly,slightly Intuitive,,1,moderately,moderately Verbal,,1,slightly,slightly Global,,M,M,NM,M,M,M,S,M,M,M,NM,M,,3.4,,,,,Y,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manag,Comfy,Frust,Frust,Comfy,Frust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"My specialty in math and other math-related courses such as physics and chemistry is the main reason that motivated me to choose engineering. Moreover, I think that people graduating from engineering are able to make more money than graduates from other programs. ",Money,Being able to make use of my skills in math and other math-related courses,Inventing cool stuffs,,GA02,GA11,GA04,GA06,GA01,GA05,GA03,GA09,GA08,GA07,GA12,GA10,GA02,GA04,GA11,GA08,GA06,GA03,GA01,GA05,GA07,GA09,GA10,GA12,GA04,GA02,GA01,GA05,GA11,GA09,GA03,GA06,GA07,GA08,GA12,GA10,Y,Y
U,U,R,S,U,U,U,U,S,U,U,U,U,S,U,U,S,2,9,5,1,9,Assimilator,,40,40,Y,NA,Vaughan,B,B,B,A,A,A,B,A,B,B,B,A,B,A,B,B,B,B,3,6,3,6,R,RB,B,Expressive,,,N,,B,A,A,A,B,A,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,A,A,A,B,B,B,B,A,B,A,A,B,A,B,A,A,B,A,A,B,B,A,A,7,4,7,4,9,2,5,6,3,3,7,-1,,1,slightly,slightly Reflective,,1,slightly,slightly Intuitive,,1,moderately,moderately Verbal,,1,slightly,slightly Global,,M,VM,NAA,S,S,VM,S,S,VM,VM,M,VM,,3.7,,Y,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,Comfy,Manag,Manag,Comfy,Manag,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mathematics, Science, and Art have always been of my keen interest and I've strived to achieve my best in said subjects. I believe that Engineering is an amazing melting pot of said subjects. Furthermore, I believe that through Engineering I will be able to exert my creativity through design and innnovation. I was motivated to chose Engineering because of these feelings and because I believe that by being an Engineer I will be able to positively influence the world and those around me. I specifically chose to pursue an undergraduate degree in Engineering because I believe that the educators at the University of Toronto impart an incomparable education to their students. Lastly, the University of Toronto has provides its students with great opportunities such as research experiences, ESIP and PEY Co-op, which greatly motivated me to pursue my undergraduate degree at this institution.",Job security,The innovation that exists in Engineering,"The freedom to venture into diverse paths (e.g. work in robotics, conduct research, pursue a graduate degree etc.)",,GA02,GA09,GA01,GA04,GA11,GA12,GA08,GA06,GA07,GA10,GA05,GA03,GA08,GA01,GA05,GA04,GA07,GA02,GA11,GA06,GA09,GA03,GA12,GA10,GA04,GA05,GA01,GA02,GA09,GA07,GA06,GA11,GA03,GA08,GA10,GA12,Y,Y
H,U,U,S,R,S,R,U,R,U,S,R,U,S,U,U,U,5,3,6,3,6,Converger,,20,25,Y,T,,B,B,B,A,A,B,B,B,A,A,B,A,A,A,A,B,B,B,3,6,5,4,R,RA,A,Driver,,,N,,B,A,B,B,A,B,B,A,A,A,A,B,B,B,A,B,A,A,A,A,B,B,A,A,B,A,B,B,A,B,A,A,A,B,B,A,A,A,B,B,B,B,A,A,7,4,5,6,5,6,7,4,3,-1,-1,3,,1,slightly,slightly Reflective,,1,slightly,slightly Intuitive,,1,slightly,slightly Verbal,,1,slightly,slightly Global,,M,NAA,VM,VM,M,VM,S,NM,M,NAA,M,VM,,3.4,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hebrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manag,Manag,Frust,Frust,Manag,Frust,"I wanted to learn about the world, and also how to create things that function and help people. I wanted a program that would force me to work hard because I work best with rigour and a schedule. I wanted a program where I’d be able to get a well paying job. The difficult material and breadth covered appealed to me. I love math and science. I also don’t know what I want to do overall and EngSci has two General first years to help me decide that.",Helping people ,Making enough money to live very comfortably ,Challenging myself to always keep learning,,GA07,GA05,GA02,GA03,GA11,GA04,GA01,GA06,GA12,GA09,GA10,GA08,GA03,GA04,GA01,GA07,GA11,GA05,GA06,GA02,GA08,GA12,GA09,GA10,GA01,GA02,GA03,GA05,GA07,GA04,GA09,GA06,GA12,GA08,GA11,GA10,Y,Y
